Algoritmo,N,TempoSegundos,Comparacoes
Bubble Sort,10000,0.210000,49995000
Insertion Sort,10000,0.063000,25158000
Selection Sort,10000,0.103000,49995000
Merge Sort,10000,0.000000,120396
Bubble Sort,50000,8.180000,1249975000
Insertion Sort,50000,3.145000,623321113
Selection Sort,50000,2.588000,1249975000
Merge Sort,50000,0.000000,718370
Bubble Sort,100000,35.967000,4999950000
Insertion Sort,100000,9.129000,2494236622
Selection Sort,100000,13.766000,4999950000
Merge Sort,100000,0.040000,1536557
